"Issue Type","Issue ID","Parent ID","Epic Link","Epic Name","Summary","Priority","Story Points","Phase","Labels","PRR Refs","Description","Acceptance Criteria"
"Sub-task","ACRME-T040201","ACRME-S0402","ACRME-E04","","Implement consumer-count monitor and threshold alert (R-02)","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T040202","ACRME-S0402","ACRME-E04","","Document and script CRG sharding procedure","High","","P1","ACRME P1","","",""
"Story","ACRME-S0403","ACRME-E04","ACRME-E04","","Safe and forced unsharing with restart-hazard protection","High","5","P1","ACRME P1","Runbook B; R-10","As a sharing operator, I want unsharing to default-deny when active associations exist, so that removing sharing never strands VM restarts.

Depends on: ACRME-S0401","- Forced unsharing rejects by default when active associations exist (Runbook B).
- Consumer owner approval captured before any forced action; impact record retained.
- ForcedUnsharingRequested alert fires on active associations."
"Sub-task","ACRME-T040301","ACRME-S0403","ACRME-E04","","Implement association enumeration + default-deny gate","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T040302","ACRME-S0403","ACRME-E04","","Implement approval capture, read-back, and impact record","High","","P1","ACRME P1","","",""
"Story","ACRME-S0404","ACRME-E04","ACRME-E04","","Sharing drift detection","High","3","P1","ACRME P1","§37 Alerts; R-03","As a SRE, I want detection when desired and actual sharing profiles differ, so that unauthorized or missing consumers are surfaced immediately.

Depends on: ACRME-S0401","- SharingDrift alert on desired/actual mismatch; UnauthorizedConsumer alert on unapproved subscription.
- Drift check runs on the adaptive reconciliation cadence."
"Sub-task","ACRME-T040401","ACRME-S0404","ACRME-E04","","Implement desired-vs-actual sharing comparator","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T040402","ACRME-S0404","ACRME-E04","","Wire SharingDrift and UnauthorizedConsumer alerts","High","","P1","ACRME P1","","",""
"Epic","ACRME-E05","","","Quota Group Management","Quota Group Management","","","","ACRME","§26; §5 Quota Groups; FC-11; R-05; R-06; R-43","Two-group-per-region quota model (Prod group; shared NonProd+DR group) with provider/consumer/group validation and Preview groupType handling.",""
"Story","ACRME-S0501","ACRME-E05","ACRME-E05","","Two-group-per-region quota model","Highest","8","P1","ACRME P1","§26","As a quota owner, I want a Prod quota group and a shared NonProd+DR quota group per region, so that budgets are governed separately without DR starving on NonProd demand.

Depends on: ACRME-S0104","- QuotaGroup entities model Prod and shared NonProd+DR groups per region.
- Group formulas and exact controls implemented per §26.
- Membership never treated as proof a specific subscription can deploy (R-06)."
"Sub-task","ACRME-T050101","ACRME-S0501","ACRME-E05","","Model QuotaGroup and SubscriptionQuotaRecord entities","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T050102","ACRME-S0501","ACRME-E05","","Implement two-group-per-region provisioning + formulas","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T050103","ACRME-S0501","ACRME-E05","","Enforce mandatory subscription-level checks (R-06)","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0502","ACRME-E05","ACRME-E05","","Provider, consumer, and group quota validation","Highest","5","P1","ACRME P1","§5; R-39","As a quota owner, I want independent validation of provider, consumer, and group quota, so that placement never assumes quota it does not have.

Depends on: ACRME-S0501","- Provider quota not double-counted; API semantics validated (R-39).
- Consumer and group quota validated independently before commit.
- QuotaStateUnknown alert on unavailable/stale reads."
"Sub-task","ACRME-T050201","ACRME-S0502","ACRME-E05","","Implement provider/consumer/group quota validators","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T050202","ACRME-S0502","ACRME-E05","","Validate quota API semantics to avoid double count (R-39)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T050203","ACRME-S0502","ACRME-E05","","Wire QuotaStateUnknown alert","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0503","ACRME-E05","ACRME-E05","","Quota increase endpoint with propagation handling","High","5","P1","ACRME P1","§30; B-6; R-08","As a quota owner, I want a tracked quota-increase submission that polls for confirmed state, so that the engine never assumes a propagation SLA.

Depends on: ACRME-S0502","- Quota action submitted only when validated as required; polled to confirmed state (B-6).
- Observed propagation distribution recorded; timeout + manual path in runbook."
"Sub-task","ACRME-T050301","ACRME-S0503","ACRME-E05","","Implement quota-increase submission + async polling","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T050302","ACRME-S0503","ACRME-E05","","Record propagation distribution; add timeout/manual path (B-6)","High","","P1","ACRME P1","","",""
"Story","ACRME-S0504","ACRME-E05","ACRME-E05","","Quota Group groupType Preview status handling (FC-11 / R-43)","Medium","3","P1","ACRME P1","FC-11; R-43","As a quota owner, I want enforced-vs-advisory groupType treated as a Preview dependency, so that the engine never silently relies on preview-only enforcement semantics.

Depends on: ACRME-S0501","- groupType enforcement semantics gated behind a Preview feature flag (FC-11).
- POC-30 confirms required API version; governance acceptance recorded if needed (R-43)."
"Sub-task","ACRME-T050401","ACRME-S0504","ACRME-E05","","Flag-gate groupType enforcement reliance (FC-11)","Medium","","P1","ACRME P1","","",""
"Sub-task","ACRME-T050402","ACRME-S0504","ACRME-E05","","Confirm required API version via POC-30 and record acceptance","Medium","","P1","ACRME P1","","",""
"Epic","ACRME-E06","","","Cross-Subscription Zone Alignment","Cross-Subscription Zone Alignment","","","","ACRME","§5 FC-06; §42 POC 6a; R-11; R-41","Build and apply per-subscription physical-to-logical zone mapping so shared reservations land in the correct physical zone; reject on missing mapping.",""
"Story","ACRME-S0601","ACRME-E06","ACRME-E06","","Zone mapping table built and verified at onboarding","Highest","8","P1","ACRME P1","FC-06; R-41","As a placement owner, I want a physical-to-logical zone map per subscription and region built at onboarding, so that shared reservations align to the correct physical zone across accounts.

Depends on: ACRME-S0104","- availabilityZoneMappings read for provider and consumer subscriptions for all managed regions.
- ZoneMappingRecord persisted per subscription/region and read back (FC-06).
- Onboarding blocks if the map cannot be built and verified."
"Sub-task","ACRME-T060101","ACRME-S0601","ACRME-E06","","Model ZoneMappingRecord entity","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T060102","ACRME-S0601","ACRME-E06","","Implement Subscriptions-List-Locations zone-mapping fetch","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T060103","ACRME-S0601","ACRME-E06","","Persist + read-back mapping; block onboarding on failure","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0602","ACRME-E06","ACRME-E06","","Zone translation applied before every consumer deployment","Highest","5","P1","ACRME P1","R-41; POC 6a","As a placement engine, I want zone translation applied before every zonal deployment, rejecting on missing mapping, so that a logical/physical mismatch never causes a silent deployment failure.

Depends on: ACRME-S0601","- Translation resolves the correct consumer logical zone for a provider physical zone.
- Deployment rejected with ZoneMappingUnavailable when mapping is absent (R-41).
- Targeted refresh on churn keeps mapping current (R-11)."
"Sub-task","ACRME-T060201","ACRME-S0602","ACRME-E06","","Implement zone-translation algorithm (physical<->logical)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T060202","ACRME-S0602","ACRME-E06","","Enforce ZoneMappingUnavailable rejection path (R-41)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T060203","ACRME-S0602","ACRME-E06","","Add event-triggered targeted mapping refresh (R-11)","Highest","","P1","ACRME P1","","",""
"Epic","ACRME-E07","","","Region Selection & Placement Engine","Region Selection & Placement Engine","","","","ACRME","§27; §43 Region selection; HC-1..HC-10; VR-1..VR-11","Production-ready region selection: classification model, two-stage eligibility filter, Scenario 1/2 input modes, Middle East cross-geo extension, and the restricted-region exception workflow.",""
"Story","ACRME-S0701","ACRME-E07","ACRME-E07","","Region classification model (Standard / Restricted / Cross-Geo Extension)","Highest","8","P1","ACRME P1","§27 Classification","As a placement owner, I want every managed region classified and Restricted regions pre-filtered before scoring, so that constrained regions never enter automated placement.

Depends on: ACRME-S0103","- Standard, Restricted, and Cross-Geo Extension classes encoded in PlacementPolicy.
- Restricted regions excluded as a pre-filter ahead of all hard constraints (HC-9).
- Unknown region rejected (VR-1); Restricted excluded from scoring (VR-2)."
"Sub-task","ACRME-T070101","ACRME-S0701","ACRME-E07","","Model region classification in PolicyVersion/PlacementPolicy","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070102","ACRME-S0701","ACRME-E07","","Implement Stage 1 classification pre-filter (HC-9)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070103","ACRME-S0701","ACRME-E07","","Implement VR-1/VR-2 validation rules","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0702","ACRME-E07","ACRME-E07","","Two-stage eligibility decision tree (HC-1..HC-10)","Highest","8","P1","ACRME P1","§27 Decision tree; §27 HC-1..HC-10","As a placement engine, I want surviving candidates evaluated against hard constraints HC-1..HC-10 before scoring, so that only fully eligible Standard regions reach the scorer.

Depends on: ACRME-S0701","- Stage 2 applies HC-1..HC-10 (capacity, quota, zone, separation, freshness, geo, DR floor, NonProd/DR integrity, ME cross-geo, extension-path approval).
- Regions failing any HC are excluded from scoring with a recorded reason.
- HC-9 STANDARD_REGION_ONLY and HC-10 CROSS_GEO_EXTENSION_PATH_APPROVED enforced."
"Sub-task","ACRME-T070201","ACRME-S0702","ACRME-E07","","Implement HC-1..HC-8 constraint checks","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070202","ACRME-S0702","ACRME-E07","","Implement HC-9 and HC-10 constraint checks","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070203","ACRME-S0702","ACRME-E07","","Record per-region exclusion reasons for audit","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0703","ACRME-E07","ACRME-E07","","Scenario 1 — geography-based Prod region derivation","Highest","8","P1","ACRME P1","§27 Prod input modes; §28 PS_Prod; VR-4","As a customer, I want to supply an Azure geography and have the engine derive the Prod anchor, so that I get the best Standard region in my geography without naming one.

Depends on: ACRME-S0702, ACRME-S0801","- Candidate set = Standard regions in geography minus HC exclusions.
- argmax(PS_Prod); deterministic tie-break by Standard-region list order; cold-start default = first listed.
- Geography-scoped exhaustion error if none eligible (VR-4); never falls outside geography.
- Derived region + all candidate scores + policy version persisted for replay."
"Sub-task","ACRME-T070301","ACRME-S0703","ACRME-E07","","Implement geography candidate-set builder","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070302","ACRME-S0703","ACRME-E07","","Implement argmax(PS_Prod) selection + deterministic tie-break","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070303","ACRME-S0703","ACRME-E07","","Implement geography-scoped exhaustion error (VR-4)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070304","ACRME-S0703","ACRME-E07","","Persist derivation trace to OperationRecord","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0704","ACRME-E07","ACRME-E07","","Scenario 2 — specific region input validation","Highest","5","P1","ACRME P1","§27 Prod input modes","As a customer, I want to name a specific region and have it validated or routed to exception, so that a Standard region is used directly and a Restricted region needs approval.

Depends on: ACRME-S0702","- Standard region validated against HC-1..HC-10 then set as Prod anchor; PS_Prod used for post-validation only.
- Restricted region routed to the Exception Deployment Workflow.
- Both modes converge on a fixed, validated Prod anchor."
"Sub-task","ACRME-T070401","ACRME-S0704","ACRME-E07","","Implement Standard-region direct validation path","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070402","ACRME-S0704","ACRME-E07","","Route Restricted region input to exception workflow","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0705","ACRME-E07","ACRME-E07","","Sequential CVAL then DR selection from Prod anchor","Highest","5","P1","ACRME P1","§27; §28 PS_NonProd/PS_DR","As a placement engine, I want CVAL and DR selected sequentially from the fixed Prod anchor, so that the three-environment layout respects separation and scoring.

Depends on: ACRME-S0703, ACRME-S0704","- CVAL selected via PS_NonProd (=PS_CVAL); DR via PS_DR from Standard regions.
- Separation constraints honored across the three environments.
- All three environment scores persisted together for replay."
"Sub-task","ACRME-T070501","ACRME-S0705","ACRME-E07","","Implement sequential CVAL selection (PS_NonProd)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070502","ACRME-S0705","ACRME-E07","","Implement sequential DR selection (PS_DR)","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0706","ACRME-E07","ACRME-E07","","Middle East cross-geo extension (Saudi Arabia/UAE North → Belgium Central)","High","5","P1","ACRME P1","§27 Middle East; HC-10; R-12","As a placement owner, I want Middle East DR to use the approved Belgium Central extension path, so that the three-region minimum is met where only two in-geo regions exist.

Depends on: ACRME-S0705","- Prod = argmax(PS_Prod) over Saudi Arabia/UAE North; CVAL = the other in-geo region.
- DR = Belgium Central via the only approved extension path; validated against HC-1..HC-10 incl. DR floor.
- If Belgium Central fails, placement is blocked with an ops alert (no silent substitution)."
"Sub-task","ACRME-T070601","ACRME-S0706","ACRME-E07","","Implement Middle East Prod/CVAL in-geo assignment","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070602","ACRME-S0706","ACRME-E07","","Implement Belgium Central cross-geo DR with HC validation","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070603","ACRME-S0706","ACRME-E07","","Block + alert on degraded extension path (no substitution)","High","","P1","ACRME P1","","",""
"Story","ACRME-S0707","ACRME-E07","ACRME-E07","","Exception-based placement workflow for Restricted regions (EC-1..EC-4)","High","5","P1","ACRME P1","§27 Exception workflow; VR-3","As a governance owner, I want restricted-region use gated behind four exception conditions, so that no Restricted region enters production without explicit approval.

Depends on: ACRME-S0704","- EC-1 explicit request, EC-2 Production-only, EC-3 approval record, EC-4 Scenario-2 input all required (VR-3).
- On pass: assign Exception Prod Anchor, mark Exception Deployment, emit capacity-constraint warning.
- CVAL/DR still chosen from Standard regions; exception approval ID mandatory in OperationRecord."
"Sub-task","ACRME-T070701","ACRME-S0707","ACRME-E07","","Implement EC-1..EC-4 gate (VR-3)","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070702","ACRME-S0707","ACRME-E07","","Implement Exception Deployment marking + warning","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070703","ACRME-S0707","ACRME-E07","","Require exception approval ID in OperationRecord commit","High","","P1","ACRME P1","","",""
